source;target
170790404;788473
788473;73261584
788473;1123954
788473;20848418
788473;21174060
788473;87293701
788473;87345513
788473;128027371
788473;136495477
788473;146707655
788473;153552036
788473;159672719
788473;159968630
788473;164398839
788473;180459815
788473;182525923
788473;209862849
788473;216554148
788473;219167377
788473;226868117
788473;276227014
788473;407888175
788473;444067467
788473;526212796
240513029;171705539
171705539;43888185
171705539;224198755
171705539;329115238
171705539;447160450
171705539;60968297
171705539;63882987
171705539;69660633
171705539;75470808
171705539;164398839
171705539;606396724
265931278;20848418
265931278;136495477
265931278;153552036
265931278;276227014
20848418;73261584
20848418;139337242
20848418;180542560
20848418;329115238
20848418;444067467
20848418;153552036
20848418;526212796
20848418;209862849
20848418;146707655
20848418;183354590
20848418;128027371
20848418;21174060
20848418;87345513
20848418;136495477
20848418;159672719
20848418;159968630
20848418;182525923
20848418;226868117
20848418;276227014
20848418;287023568
20848418;333033892
20848418;407888175
136495477;139337242
136495477;219167377
136495477;153552036
136495477;87293701
136495477;87345513
136495477;276227014
136495477;287023568
153552036;73261584
153552036;139337242
153552036;180542560
153552036;329115238
153552036;444067467
153552036;219167377
153552036;21174060
153552036;87345513
153552036;128027371
153552036;159672719
153552036;159968630
153552036;182525923
153552036;209862849
153552036;216975044
153552036;226868117
153552036;227318669
153552036;276227014
153552036;333033892
153552036;407888175
153552036;526212796
276227014;180542560
276227014;146707655
276227014;282696928
276227014;87345513
276227014;159968630
276227014;333033892
73261584;21174060
73261584;87293701
73261584;87345513
73261584;128027371
73261584;159672719
73261584;329115238
73261584;407888175
21174060;139337242
21174060;134145592
21174060;329115238
21174060;444067467
21174060;526212796
21174060;128027371
21174060;81637701
21174060;87345513
21174060;145894264
21174060;159672719
21174060;182525923
21174060;226868117
21174060;227318669
21174060;407888175
87293701;209862849
87293701;407888175
87345513;139337242
87345513;134145592
87345513;329115238
87345513;444067467
87345513;219167377
87345513;150253734
87345513;526212796
87345513;209862849
87345513;216975044
87345513;128027371
87345513;407888175
87345513;81637701
87345513;159672719
87345513;182525923
87345513;226868117
128027371;329115238
128027371;159672719
128027371;182525923
159672719;526212796
159672719;227318669
159672719;182525923
329115238;139337242
329115238;134145592
329115238;224198755
329115238;69660633
329115238;95527019
329115238;145894264
329115238;148017098
329115238;164398839
329115238;181732679
329115238;182525923
329115238;183354590
329115238;209862849
329115238;216975044
329115238;221138779
329115238;282696928
329115238;444067467
329115238;447160450
329115238;526212796
329115238;570100620
407888175;444067467
407888175;219167377
407888175;526212796
407888175;226868117
407888175;227318669
227935251;190841386
227935251;201718102
227935251;249452714
227935251;331543667
227935251;341103964
227935251;449954032
190841386;115017032
190841386;124958975
190841386;152728538
190841386;201718102
201718102;249452714
201718102;240954082
201718102;124958975
201718102;289333053
201718102;94895995
201718102;152728538
201718102;154857952
201718102;159270911
201718102;168759267
201718102;341103964
249452714;331543667
249452714;152728538
249452714;220483339
249452714;240954082
249452714;247932292
249452714;341103964
249452714;449954032
331543667;220483339
331543667;247932292
331543667;449954032
341103964;240954082
341103964;449954032
341103964;124958975
341103964;289333053
341103964;115017032
341103964;94895995
341103964;152728538
341103964;159270911
449954032;152728538
449954032;165043584
449954032;220483339
449954032;247932292
152655897;118459138
152655897;135222463
152655897;141133272
152655897;143460617
152655897;287931374
118459138;138650229
118459138;135222463
118459138;171408584
118459138;140909561
118459138;141133272
118459138;148169024
118459138;193541506
118459138;287931374
135222463;138650229
135222463;140909561
135222463;141133272
135222463;143460617
135222463;148169024
135222463;165710258
135222463;171408584
135222463;193541506
135222463;229213895
135222463;287931374
141133272;138650229
141133272;229213895
141133272;143460617
141133272;148169024
141133272;193541506
141133272;140909561
141133272;287931374
143460617;138650229
143460617;229213895
287931374;138650229
287931374;171408584
287931374;148169024
139337242;216975044
216975044;134145592
216975044;526212796
216975044;148017098
216975044;164398839
216975044;181732679
216975044;183354590
216975044;333033892
165709340;75470808
75470808;499869950
75470808;247932292
1123954;183354590
1123954;219167377
146707655;209862849
146707655;182525923
159968630;180542560
159968630;333033892
164398839;134145592
164398839;224198755
164398839;95527019
164398839;447160450
164398839;153948361
164398839;183354590
164398839;69660633
164398839;145894264
164398839;148017098
164398839;181732679
164398839;221138779
182525923;219167377
209862849;526212796
209862849;227318669
216554148;219167377
219167377;181732679
219167377;226868117
219167377;526212796
226868117;444067467
226868117;526212796
226868117;227318669
444067467;227318669
115017032;124958975
115017032;289333053
115017032;94895995
115017032;152728538
124958975;94895995
124958975;152728538
124958975;154857952
124958975;159270911
124958975;227434240
152728538;240954082
152728538;289333053
152728538;94895995
152728538;165043584
152728538;154857952
152728538;159270911
504575029;62818045
504575029;98841974
504575029;153612776
504575029;155466463
62818045;155466463
62818045;98841974
62818045;153612776
98841974;324697670
98841974;153612776
98841974;159270911
153612776;155466463
153612776;119064305
153612776;148061577
