,id,atributes
0,170790404,"физмат,матфак,цдоош"
1,788473,"цдоош,чгк,лис"
2,240513029,алина
3,171705539,"алина,импульс,викинг,чгк"
4,265931278,"лис,физмат"
5,20848418,"лис,цдоош,викинг,чгк"
6,136495477,"лис,чгк"
7,153552036,"лис,чгк,цдоош"
8,276227014,"лис,физмат"
9,295945743,семья
10,73261584,"лис,чгк"
11,21174060,"лис,чгк,цдоош,викинг"
12,87293701,лис
13,87345513,"лис,чгк,цдоош,викинг,физмат"
14,128027371,"лис,чгк,цдоош,физмат"
15,159672719,"лис,чгк,цдоош,викинг"
16,329115238,"лис,чгк,цдоош,викинг,физмат"
17,407888175,лис
18,227935251,матфак
19,190841386,матфак
20,201718102,матфак
21,249452714,матфак
22,331543667,матфак
23,341103964,матфак
24,449954032,матфак
25,152655897,школа
26,118459138,школа
27,135222463,школа
28,141133272,школа
29,143460617,школа
30,287931374,школа
31,139337242,"чгк,лис"
32,216975044,"физмат,чгк,лис"
33,165709340,матфак
34,75470808,импульс
35,1123954,физмат
36,146707655,лис
37,159968630,"физмат,лис"
38,164398839,"физмат,викинг"
39,180459815,лис
40,182525923,"лис,викинг"
41,209862849,"лис,чгк"
42,216554148,"лис,физмат,матфак"
43,219167377,"лис,физмат,чгк"
44,226868117,лис
45,444067467,лис
46,526212796,лис
47,20651043,"чгк,вшэ"
48,115017032,матфак
49,124958975,матфак
50,152728538,матфак
51,504575029,миэм
52,62818045,миэм
53,98841974,миэм
54,153612776,миэм
55,155466463,миэм
56,134145592,физмат
57,145894264,физмат
58,148017098,физмат
59,181732679,физмат
60,183354590,физмат
61,224198755,физмат
62,570100620,физмат
63,43888185,физмат
64,324697670,миэм
65,281574988,матфак
66,180542560,лис
67,282696928,лис
68,333033892,"лис,физмат"
69,69660633,"алина,физмат"
70,158698934,физмат
71,221138779,физмат
72,175868516,лис
73,86956807,"лис,физмат,миэм"
74,287023568,"лис,чгк"
75,95527019,физмат
76,447160450,алина
77,190397546,"чгк,вшэ"
78,206635441,вшэ
79,220483339,матфак
80,247932292,матфак
81,138650229,школа
82,171408584,школа
83,229213895,школа
84,110382208,миэм
85,119064305,миэм
86,221318546,миэм
87,498172255,миэм
88,227318669,лис
89,171237521,вшэ
90,142487709,"вшэ,чгк"
91,150253734,"вшэ,лис,чгк"
92,240954082,матфак
93,140909561,школа
94,148169024,школа
95,165710258,школа
96,193541506,школа
97,60968297,семья
98,63882987,семья
99,606396724,алина
100,153948361,физмат
101,264623819,школа
102,65319327,вшэ
103,148061577,миэм
104,165234066,миэм
105,168759267,матфак
106,289333053,матфак
107,217309137,семья
108,587048243,семья
109,165043584,"матфак,чгк"
110,106592498,вшэ
111,499869950,вшэ
112,94895995,матфак
113,154857952,матфак
114,159270911,матфак
115,227434240,матфак
116,104952087,миэм
117,489240341,семья
118,322787608,семья
119,81637701,лис
120,186609107,семья
121,360983433,матфак
122,264068050,школа
